tech,class,year,capcost,fom,vom,heatrate,fuelprice
Gas-CT,1,2010,996.7821695,11.6,4.58,10.2225,5.951629565
Gas-CT,1,2011,992.2120442,11.6,4.58,10.16785714,5.438768425
Gas-CT,1,2012,987.6419188,11.6,4.58,10.11321429,3.842522513
Gas-CT,1,2013,983.0717935,11.6,4.58,10.05857143,4.846292925
Gas-CT,1,2014,978.5016682,11.6,4.58,10.00392857,5.487604938
Gas-CT,1,2015,973.9315428,11.6,4.58,9.949285714,3.417602236
Gas-CT,1,2016,969.3614175,11.6,4.58,9.894642857,2.986412593
Gas-CT,1,2017,964.7912922,11.6,4.58,9.5145,3.477399177
Gas-CT,1,2018,960.2211668,11.6,4.58,9.5145,3.450359753
Gas-CT,1,2019,955.6510415,11.6,4.58,9.5145,2.802867537
Gas-CT,1,2020,951.0809162,11.6,4.58,9.5145,2.593194396
Gas-CT,1,2021,946.5107909,11.6,4.58,9.5145,2.758602045
Gas-CT,1,2022,941.9406655,11.6,4.58,9.5145,2.75296137
Gas-CT,1,2023,931.1162913,11.6,4.58,9.5145,2.822745428
Gas-CT,1,2024,914.3799868,11.6,4.58,9.5145,2.970733114
Gas-CT,1,2025,903.329035,11.6,4.58,9.5145,3.254754983
Gas-CT,1,2026,896.6626059,11.6,4.58,9.5145,3.472819469
Gas-CT,1,2027,889.4671488,11.6,4.58,9.5145,3.604828147
Gas-CT,1,2028,884.7713698,11.6,4.58,9.5145,3.675279579
Gas-CT,1,2029,881.6097752,11.6,4.58,9.5145,3.665588242
Gas-CT,1,2030,877.2149839,11.6,4.58,9.5145,3.593920614
Gas-CT,1,2031,873.4488813,11.6,4.58,9.5145,3.560568193
Gas-CT,1,2032,869.4200714,11.6,4.58,9.5145,3.585142584
Gas-CT,1,2033,864.8218097,11.6,4.58,9.5145,3.654566366
Gas-CT,1,2034,861.4980241,11.6,4.58,9.5145,3.710963834
Gas-CT,1,2035,859.1014047,11.6,4.58,9.5145,3.705710524
Gas-CT,1,2036,855.8603205,11.6,4.58,9.5145,3.704953126
Gas-CT,1,2037,853.8694196,11.6,4.58,9.5145,3.746519275
Gas-CT,1,2038,851.5553662,11.6,4.58,9.5145,3.76977471
Gas-CT,1,2039,848.5777875,11.6,4.58,9.5145,3.776991931
Gas-CT,1,2040,845.4366183,11.6,4.58,9.5145,3.785677124
Gas-CT,1,2041,843.7756392,11.6,4.58,9.5145,3.784534222
Gas-CT,1,2042,840.953904,11.6,4.58,9.5145,3.793216306
Gas-CT,1,2043,838.7101963,11.6,4.58,9.5145,3.80629931
Gas-CT,1,2044,836.4269222,11.6,4.58,9.5145,3.823682484
Gas-CT,1,2045,834.6136,11.6,4.58,9.5145,3.837238731
Gas-CT,1,2046,831.2780374,11.6,4.58,9.5145,3.883611314
Gas-CT,1,2047,829.0402258,11.6,4.58,9.5145,3.93961842
Gas-CT,1,2048,826.768189,11.6,4.58,9.5145,3.978429904
Gas-CT,1,2049,824.478841,11.6,4.58,9.5145,4.004995194
Gas-CT,1,2050,815.0884748,11.6,4.58,9.5145,4.062737187
Gas-CC,1,2010,1150.625575,13.095,2.2,6.5375,5.951629565
Gas-CC,1,2011,1139.690974,13.095,2.2,6.525,5.438768425
Gas-CC,1,2012,1128.756373,13.095,2.2,6.5125,3.842522513
Gas-CC,1,2013,1117.821773,13.095,2.2,6.5,4.846292925
Gas-CC,1,2014,1106.887172,13.095,2.2,6.4875,5.487604938
Gas-CC,1,2015,1095.952572,13.095,2.2,6.475,3.417602236
Gas-CC,1,2016,1085.017971,13.095,2.2,6.4625,2.986412593
Gas-CC,1,2017,1074.08337,13.095,2.2,6.4005,3.477399177
