hour,time
0,H9
1,H9
2,H9
3,H9
4,H9
5,H9
6,H9
7,H10
8,H10
9,H10
10,H10
11,H10
12,H10
13,H10
14,H11
15,H11
16,H11
17,H11
18,H12
19,H12
20,H12
21,H12
22,H12
23,H9
24,H9
25,H9
26,H9
27,H9
28,H9
29,H9
30,H9
31,H10
32,H10
33,H10
34,H10
35,H10
36,H10
37,H10
38,H11
39,H11
40,H11
41,H11
42,H12
43,H12
44,H12
45,H12
46,H12
47,H9
48,H9
49,H9
50,H9
51,H9
52,H9
53,H9
54,H9
55,H10
56,H10
57,H10
58,H10
59,H10
60,H10
61,H10
62,H11
63,H11
64,H11
65,H11
66,H12
67,H12
68,H12
69,H12
70,H12
71,H9
72,H9
73,H9
74,H9
75,H9
76,H9
77,H9
78,H9
79,H10
80,H10
81,H10
82,H10
83,H10
84,H10
85,H10
86,H11
87,H11
88,H11
89,H11
90,H12
91,H12
92,H12
93,H12
94,H12
95,H9
96,H9
97,H9
98,H9
99,H9
100,H9
101,H9
102,H9
103,H10
104,H10
105,H10
106,H10
107,H10
108,H10
109,H10
110,H11
111,H11
112,H11
113,H11
114,H12
115,H12
116,H12
117,H12
118,H12
119,H9
120,H9
121,H9
122,H9
123,H9
124,H9
125,H9
126,H9
127,H10
128,H10
129,H10
130,H10
131,H10
132,H10
133,H10
134,H11
135,H11
136,H11
137,H11
138,H12
139,H12
140,H12
141,H12
142,H12
143,H9
144,H9
145,H9
146,H9
147,H9
148,H9
149,H9
150,H9
151,H10
152,H10
153,H10
154,H10
155,H10
156,H10
157,H10
158,H11
159,H11
160,H11
161,H11
162,H12
163,H12
164,H12
165,H12
166,H12
167,H9
168,H9
169,H9
170,H9
171,H9
172,H9
173,H9
174,H9
175,H10
176,H10
177,H10
178,H10
179,H10
180,H10
181,H10
182,H11
183,H11
184,H11
185,H11
186,H12
187,H12
188,H12
189,H12
190,H12
191,H9
192,H9
193,H9
194,H9
195,H9
196,H9
197,H9
198,H9
199,H10
200,H10
201,H10
202,H10
203,H10
204,H10
205,H10
206,H11
207,H11
208,H11
209,H11
210,H12
211,H12
212,H12
213,H12
214,H12
215,H9
216,H9
217,H9
218,H9
219,H9
220,H9
221,H9
222,H9
223,H10
224,H10
225,H10
226,H10
227,H10
228,H10
229,H10
230,H11
231,H11
232,H11
233,H11
234,H12
235,H12
236,H12
237,H12
238,H12
239,H9
240,H9
241,H9
242,H9
243,H9
244,H9
245,H9
246,H9
247,H10
248,H10
249,H10
250,H10
251,H10
252,H10
253,H10
254,H11
255,H11
256,H11
257,H11
258,H12
259,H12
260,H12
261,H12
262,H12
263,H9
264,H9
265,H9
266,H9
267,H9
268,H9
269,H9
270,H9
271,H10
272,H10
273,H10
274,H10
275,H10
276,H10
277,H10
278,H11
279,H11
280,H11
281,H11
282,H12
283,H12
284,H12
285,H12
286,H12
287,H9
288,H9
289,H9
290,H9
291,H9
292,H9
293,H9
294,H9
295,H10
296,H10
297,H10
298,H10
299,H10
300,H10
301,H10
302,H11
303,H11
304,H11
305,H11
306,H12
307,H12
308,H12
309,H12
310,H12
311,H9
312,H9
313,H9
314,H9
315,H9
316,H9
317,H9
318,H9
319,H10
320,H10
321,H10
322,H10
323,H10
324,H10
325,H10
326,H11
327,H11
328,H11
329,H11
330,H12
331,H12
332,H12
333,H12
334,H12
335,H9
336,H9
337,H9
338,H9
339,H9
340,H9
341,H9
342,H9
343,H10
344,H10
345,H10
346,H10
347,H10
348,H10
349,H10
350,H11
351,H11
352,H11
353,H11
354,H12
355,H12
356,H12
357,H12
358,H12
359,H9
360,H9
361,H9
362,H9
363,H9
364,H9
365,H9
366,H9
367,H10
368,H10
369,H10
370,H10
371,H10
372,H10
373,H10
374,H11
375,H11
376,H11
377,H11
378,H12
379,H12
380,H12
381,H12
382,H12
383,H9
384,H9
385,H9
386,H9
387,H9
388,H9
389,H9
390,H9
391,H10
392,H10
393,H10
394,H10
395,H10
396,H10
397,H10
398,H11
399,H11
400,H11
401,H11
402,H12
403,H12
404,H12
405,H12
406,H12
407,H9
408,H9
409,H9
410,H9
411,H9
412,H9
413,H9
414,H9
415,H10
416,H10
417,H10
418,H10
419,H10
420,H10
421,H10
422,H11
423,H11
424,H11
425,H11
426,H12
427,H12
428,H12
